placeName,placeTypeHint,lat,lng,plusCode,googleMapsUrl
Agrola,HVO_TANKSTELLE,47.187472,8.861093,,"https://www.google.com/maps/search/?api=1&query=47.1874718,8.8610929"
Agrola,HVO_TANKSTELLE,47.478777,9.578785,,"https://www.google.com/maps/search/?api=1&query=47.4787773,9.578785"
Agrola / Landi,HVO_TANKSTELLE,47.267211,8.918425,,"https://www.google.com/maps/search/?api=1&query=47.2672114,8.9184251"
Agrola / LANDI,HVO_TANKSTELLE,47.274798,8.824963,,"https://www.google.com/maps/search/?api=1&query=47.2747979,8.8249631"
Agrola / LANDI,HVO_TANKSTELLE,47.195176,7.608810,,"https://www.google.com/maps/search/?api=1&query=47.1951756,7.6088097"
Agrola / LANDI,HVO_TANKSTELLE,47.183258,7.980889,,"https://www.google.com/maps/search/?api=1&query=47.1832583,7.9808889"
Agrola / Laveba (ab 29.12.2025),HVO_TANKSTELLE,47.150223,9.030573,,"https://www.google.com/maps/search/?api=1&query=47.1502233,9.0305728"
AGROLA / TRAVECO Transporte AG ( PKW + LKW ),HVO_TANKSTELLE,47.528101,8.704682,,"https://www.google.com/maps/search/?api=1&query=47.5281005,8.7046819"
AGROLA / TRAVECO Transporte AG ( PKW + LKW ),HVO_TANKSTELLE,47.175669,8.102763,,"https://www.google.com/maps/search/?api=1&query=47.1756687,8.1027629"
AGROLA / TRAVECO Transporte AG ( PKW + LKW ),HVO_TANKSTELLE,47.308409,7.777557,,"https://www.google.com/maps/search/?api=1&query=47.3084087,7.777557"
Agros,HVO_TANKSTELLE,52.127640,5.755381,,"https://www.google.com/maps/search/?api=1&query=52.1276397,5.7553808"
Agros,HVO_TANKSTELLE,52.154732,6.200996,,"https://www.google.com/maps/search/?api=1&query=52.1547318,6.200996"
Agros,HVO_TANKSTELLE,52.259943,6.283848,,"https://www.google.com/maps/search/?api=1&query=52.2599433,6.2838478"
Agros,HVO_TANKSTELLE,51.931509,6.592671,,"https://www.google.com/maps/search/?api=1&query=51.9315088,6.5926706"
